Code,Description,Manufacturer,Official_Severity,Color_Raw,Operator_Action,Product_Type,Occurrences_2025,Containers_Affected,Containers_With_True_Failure,Empirical_Failure_Rate,Recommendation
43,Unit Forced to Low Speed Modulation,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",3,2,2,100.0,CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
12,Sensor or Digital Input Shutdown (Zone),ThermoKing,Red,take action,Unit/zone cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",2,1,1,100.0,CRITICAL RISK | Confirmed high-danger alarm. Stop and service immediately. | TK action: Unit/zone cannot operate and is shut down. Repair immediately.
35,Check Run Relay Circuit,ThermoKing,Red,take action,Unit cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",2,1,1,100.0,CRITICAL RISK | Confirmed high-danger alarm. Stop and service immediately. | TK action: Unit cannot operate and is shut down. Repair immediately.
45,Check Hot Gas or Hot Gas Bypass Circuit,ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",2,1,1,100.0,"CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day."
35,Check Starter Circuit,Carrier,Red,take action,Report and repair immediately.,Carrier APX,2,1,1,100.0,CRITICAL RISK | Confirmed high-danger alarm. Stop and service immediately. | Carrier action: Report and repair immediately.
16,Manual Start Not Completed,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",1,1,1,100.0,CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
17,Engine Failed to Crank,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",1,1,1,100.0,"CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
87,Check Suction Pressure Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",1,1,1,100.0,CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
111,Unit Not Configured Correctly (Zone),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",1,1,1,100.0,CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
124,Check Evap Coil Outlet Temp Sensor (CR),ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",1,1,1,100.0,CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
520,Check Battery Charger Output Power,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,1,1,1,100.0,"CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
601,Check Camshaft Speed Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",1,1,1,100.0,CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
124,Check Defrost Termination 1 Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,1,1,1,100.0,CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | Carrier action: Check and repair at end of trip.
127,Setpoint Not Entered (Zone),ThermoKing,Yellow,check,Be sure setpoint is adjusted to required temperature.,"Truck, trailer, CR, DAS, DSR",8,8,7,87.5,CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: Be sure setpoint is adjusted to required temperature.
127,Check Suction Temp Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,8,8,7,87.5,CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | Carrier action: Check and repair at end of trip.
9001,Telematics Backup Battery Depleted,Telematics System,Red,,Not in manufacturer reference,Telematics/Unknown,9,6,5,83.33,Observed in 2025 telematics but NOT in manufacturer alarm reference. Empirical failure rate: 83%. Investigate context.
33,Check Engine RPM,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",10,7,5,71.43,CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
121,Check PMW Liquid Injection Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",7,3,2,66.67,"CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
4,Check (Control) Discharge Air Sensor (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",5,3,2,66.67,CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: Manually monitor temperature. Report alarm at end of day.
79,Internal Data Logger Overflow,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",4,3,2,66.67,CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
41,Check Engine Coolant Temp,ThermoKing,Yellow,check,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",39,20,13,65.0,CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: Report alarm at end of day.
41,Engine Stalled,Carrier,Yellow,check,"Unit will restart*, report reactivation.",Carrier APX,39,20,13,65.0,"CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | Carrier action: Unit will restart*, report reactivation."
89,Check Electronic Throttling Valve (ETV) Circuit,ThermoKing,Green,ok,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",13,8,5,62.5,"CRITICAL RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
3,Check (Control) Return Air Sensor (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",7,5,3,60.0,CRITICAL RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: Manually monitor temperature. Report alarm at end of day.
159,Check Battery Condition,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",330,132,71,53.79,HIGH RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
25,Alternator Check,ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",24,17,9,52.94,"HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day."
6,Check Coolant Temp Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",13,10,5,50.0,HIGH RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
522,Battery Temperature Sensor Alarm,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,11,2,1,50.0,"HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
528,Failed J1939 CAN Comm Base Controller/Charger,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,10,4,2,50.0,"HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
2,Check Evaporator Coil Sensor (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",9,4,2,50.0,HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: Manually monitor temperature. Report alarm at end of day.
610,Check Atmospheric Pressure Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",8,2,1,50.0,HIGH RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
518,Generator Ground Fault,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,3,2,1,50.0,"HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
9008,Main Battery Disconnect,Telematics System,Red,,Not in manufacturer reference,Telematics/Unknown,3,2,1,50.0,Observed in 2025 telematics but NOT in manufacturer alarm reference. Empirical failure rate: 50%. Investigate context.
18,High Engine Coolant Temperature,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",2,2,1,50.0,"HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
1,Unknown alarm (not in TK/Carrier reference),Unknown,Unknown,,Not in manufacturer reference,Telematics/Unknown,2,2,1,50.0,Observed in 2025 telematics but NOT in manufacturer alarm reference. Empirical failure rate: 50%. Investigate context.
9000,Telematics is on Backup Battery,Telematics System,Yellow,,Not in manufacturer reference,Telematics/Unknown,2,2,1,50.0,Observed in 2025 telematics but NOT in manufacturer alarm reference. Empirical failure rate: 50%. Investigate context.
30,Defrost Damper Stuck Closed (Zone),ThermoKing,Red,take action,Unit/zone cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",51,23,11,47.83,HIGH RISK | Confirmed high-danger alarm. Stop and service immediately. | TK action: Unit/zone cannot operate and is shut down. Repair immediately.
53,Check Economizer Valve Circuit,ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",10,9,4,44.44,"HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day."
53,Box Temp Out of Range,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,10,9,4,44.44,"HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | Carrier action: Reset*, report reactivation."
108,Door Open Timeout (Zone),ThermoKing,Yellow,check,Close doors. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",9,7,3,42.86,HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: Close doors. Report alarm at end of day.
37,Check Engine Coolant Level,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",112,71,30,42.25,HIGH RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
37,Check Low Speed RPM,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,112,71,30,42.25,HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | Carrier action: Check and repair at end of trip.
96,Low Fuel Level,ThermoKing,Yellow,check,Add fuel as required.,"Truck, trailer, CR, DAS, DSR",11,10,4,40.0,HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: Add fuel as required.
132,Total Unit Run Time Maint Reminder #1,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",10,5,2,40.0,HIGH RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
132,Check Defrost Termination 2 Sensor,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,10,5,2,40.0,HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | Carrier action: Check and repair at end of trip.
5,Check Ambient Temp Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",9,5,2,40.0,HIGH RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
203,Check Display Return Air Sensor (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",8,5,2,40.0,HIGH RISK | Officially moderate but HIGH empirical failure rate. Treat as critical - schedule urgent service. | TK action: Manually monitor temperature. Report alarm at end of day.
86,Check Discharge Pressure Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",5,5,2,40.0,HIGH RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
